"","model","par","est","se","year"
"1","TMB-Mod1: RE","Espawnbio",0.127889543410273,NA,1970
"2","TMB-Mod1: RE","Espawnbio",0.122071610976221,NA,1971
"3","TMB-Mod1: RE","Espawnbio",0.112628629940862,NA,1972
"4","TMB-Mod1: RE","Espawnbio",0.0956721658682108,NA,1973
"5","TMB-Mod1: RE","Espawnbio",0.0868909017284153,NA,1974
"6","TMB-Mod1: RE","Espawnbio",0.0931852802288916,NA,1975
"7","TMB-Mod1: RE","Espawnbio",0.123947784261797,NA,1976
"8","TMB-Mod1: RE","Espawnbio",0.139972802330027,NA,1977
"9","TMB-Mod1: RE","Espawnbio",0.128460808835144,NA,1978
"10","TMB-Mod1: RE","Espawnbio",0.136101888469379,NA,1979
"11","TMB-Mod1: RE","Espawnbio",0.188352922127409,NA,1980
"12","TMB-Mod1: RE","Espawnbio",0.208989702721984,NA,1981
"13","TMB-Mod1: RE","Espawnbio",0.340674676009619,NA,1982
"14","TMB-Mod1: RE","Espawnbio",0.476062361774195,NA,1983
"15","TMB-Mod1: RE","Espawnbio",0.527514208115892,NA,1984
"16","TMB-Mod1: RE","Espawnbio",0.478384640662807,NA,1985
"17","TMB-Mod1: RE","Espawnbio",0.43516346311137,NA,1986
"18","TMB-Mod1: RE","Espawnbio",0.408152825320968,NA,1987
"19","TMB-Mod1: RE","Espawnbio",0.412026375270151,NA,1988
"20","TMB-Mod1: RE","Espawnbio",0.426705469455703,NA,1989
"21","TMB-Mod1: RE","Espawnbio",0.436702577671155,NA,1990
"22","TMB-Mod1: RE","Espawnbio",0.428506126199035,NA,1991
"23","TMB-Mod1: RE","Espawnbio",0.389180804669063,NA,1992
"24","TMB-Mod1: RE","Espawnbio",0.421914543532361,NA,1993
"25","TMB-Mod1: RE","Espawnbio",0.496235241139202,NA,1994
"26","TMB-Mod1: RE","Espawnbio",0.412810830487974,NA,1995
"27","TMB-Mod1: RE","Espawnbio",0.380628627674215,NA,1996
"28","TMB-Mod1: RE","Espawnbio",0.337485547652412,NA,1997
